"","Sex","Age","SibSp","Parch","Fare","Embarked","SurvivedF","PclassF"
"598","male",49,0,0,0,"S","0","3"
"599","male",NA,0,0,7.225,"C","0","3"
"600","male",49,1,0,56.9292,"C","1","1"
"601","female",24,2,1,27,"S","1","2"
"602","male",NA,0,0,7.8958,"S","0","3"
"603","male",NA,0,0,42.4,"S","0","1"
"604","male",44,0,0,8.05,"S","0","3"
"605","male",35,0,0,26.55,"C","1","1"
"606","male",36,1,0,15.55,"S","0","3"
"607","male",30,0,0,7.8958,"S","0","3"
"608","male",27,0,0,30.5,"S","1","1"
"609","female",22,1,2,41.5792,"C","1","2"
"610","female",40,0,0,153.4625,"S","1","1"
"611","female",39,1,5,31.275,"S","0","3"
"612","male",NA,0,0,7.05,"S","0","3"
"613","female",NA,1,0,15.5,"Q","1","3"
"614","male",NA,0,0,7.75,"Q","0","3"
"615","male",35,0,0,8.05,"S","0","3"
"616","female",24,1,2,65,"S","1","2"
"617","male",34,1,1,14.4,"S","0","3"
"618","female",26,1,0,16.1,"S","0","3"
"619","female",4,2,1,39,"S","1","2"
"620","male",26,0,0,10.5,"S","0","2"
"621","male",27,1,0,14.4542,"C","0","3"
"622","male",42,1,0,52.5542,"S","1","1"
"623","male",20,1,1,15.7417,"C","1","3"
"624","male",21,0,0,7.8542,"S","0","3"
"625","male",21,0,0,16.1,"S","0","3"
"626","male",61,0,0,32.3208,"S","0","1"
"627","male",57,0,0,12.35,"Q","0","2"
"628","female",21,0,0,77.9583,"S","1","1"
"629","male",26,0,0,7.8958,"S","0","3"
"630","male",NA,0,0,7.7333,"Q","0","3"
"631","male",80,0,0,30,"S","1","1"
"632","male",51,0,0,7.0542,"S","0","3"
"633","male",32,0,0,30.5,"C","1","1"
"634","male",NA,0,0,0,"S","0","1"
"635","female",9,3,2,27.9,"S","0","3"
"636","female",28,0,0,13,"S","1","2"
"637","male",32,0,0,7.925,"S","0","3"
"638","male",31,1,1,26.25,"S","0","2"
"639","female",41,0,5,39.6875,"S","0","3"
"640","male",NA,1,0,16.1,"S","0","3"
"641","male",20,0,0,7.8542,"S","0","3"
"642","female",24,0,0,69.3,"C","1","1"
"643","female",2,3,2,27.9,"S","0","3"
"644","male",NA,0,0,56.4958,"S","1","3"
"645","female",0.75,2,1,19.2583,"C","1","3"
"646","male",48,1,0,76.7292,"C","1","1"
"647","male",19,0,0,7.8958,"S","0","3"
"648","male",56,0,0,35.5,"C","1","1"
"649","male",NA,0,0,7.55,"S","0","3"
"650","female",23,0,0,7.55,"S","1","3"
"651","male",NA,0,0,7.8958,"S","0","3"
"652","female",18,0,1,23,"S","1","2"
"653","male",21,0,0,8.4333,"S","0","3"
"654","female",NA,0,0,7.8292,"Q","1","3"
"655","female",18,0,0,6.75,"Q","0","3"
"656","male",24,2,0,73.5,"S","0","2"
"657","male",NA,0,0,7.8958,"S","0","3"
"658","female",32,1,1,15.5,"Q","0","3"
"659","male",23,0,0,13,"S","0","2"
"660","male",58,0,2,113.275,"C","0","1"
"661","male",50,2,0,133.65,"S","1","1"
"662","male",40,0,0,7.225,"C","0","3"
"663","male",47,0,0,25.5875,"S","0","1"
"664","male",36,0,0,7.4958,"S","0","3"
"665","male",20,1,0,7.925,"S","1","3"
"666","male",32,2,0,73.5,"S","0","2"
"667","male",25,0,0,13,"S","0","2"
"668","male",NA,0,0,7.775,"S","0","3"
"669","male",43,0,0,8.05,"S","0","3"
"670","female",NA,1,0,52,"S","1","1"
"671","female",40,1,1,39,"S","1","2"
"672","male",31,1,0,52,"S","0","1"
"673","male",70,0,0,10.5,"S","0","2"
"674","male",31,0,0,13,"S","1","2"
"675","male",NA,0,0,0,"S","0","2"
"676","male",18,0,0,7.775,"S","0","3"
"677","male",24.5,0,0,8.05,"S","0","3"
"678","female",18,0,0,9.8417,"S","1","3"
"679","female",43,1,6,46.9,"S","0","3"
"680","male",36,0,1,512.3292,"C","1","1"
"681","female",NA,0,0,8.1375,"Q","0","3"
"682","male",27,0,0,76.7292,"C","1","1"
"683","male",20,0,0,9.225,"S","0","3"
"684","male",14,5,2,46.9,"S","0","3"
"685","male",60,1,1,39,"S","0","2"
"686","male",25,1,2,41.5792,"C","0","2"
"687","male",14,4,1,39.6875,"S","0","3"
"688","male",19,0,0,10.1708,"S","0","3"
"689","male",18,0,0,7.7958,"S","0","3"
"690","female",15,0,1,211.3375,"S","1","1"
"691","male",31,1,0,57,"S","1","1"
"692","female",4,0,1,13.4167,"C","1","3"
"693","male",NA,0,0,56.4958,"S","1","3"
"694","male",25,0,0,7.225,"C","0","3"
"695","male",60,0,0,26.55,"S","0","1"
"696","male",52,0,0,13.5,"S","0","2"
"697","male",44,0,0,8.05,"S","0","3"
"698","female",NA,0,0,7.7333,"Q","1","3"
"699","male",49,1,1,110.8833,"C","0","1"
"700","male",42,0,0,7.65,"S","0","3"
"701","female",18,1,0,227.525,"C","1","1"
"702","male",35,0,0,26.2875,"S","1","1"
"703","female",18,0,1,14.4542,"C","0","3"
"704","male",25,0,0,7.7417,"Q","0","3"
"705","male",26,1,0,7.8542,"S","0","3"
"706","male",39,0,0,26,"S","0","2"
"707","female",45,0,0,13.5,"S","1","2"
"708","male",42,0,0,26.2875,"S","1","1"
"709","female",22,0,0,151.55,"S","1","1"
"710","male",NA,1,1,15.2458,"C","1","3"
"711","female",24,0,0,49.5042,"C","1","1"
"712","male",NA,0,0,26.55,"S","0","1"
"713","male",48,1,0,52,"S","1","1"
"714","male",29,0,0,9.4833,"S","0","3"
"715","male",52,0,0,13,"S","0","2"
"716","male",19,0,0,7.65,"S","0","3"
"717","female",38,0,0,227.525,"C","1","1"
"718","female",27,0,0,10.5,"S","1","2"
"719","male",NA,0,0,15.5,"Q","0","3"
"720","male",33,0,0,7.775,"S","0","3"
"721","female",6,0,1,33,"S","1","2"
"722","male",17,1,0,7.0542,"S","0","3"
"723","male",34,0,0,13,"S","0","2"
"724","male",50,0,0,13,"S","0","2"
"725","male",27,1,0,53.1,"S","1","1"
"726","male",20,0,0,8.6625,"S","0","3"
"727","female",30,3,0,21,"S","1","2"
"728","female",NA,0,0,7.7375,"Q","1","3"
"729","male",25,1,0,26,"S","0","2"
"730","female",25,1,0,7.925,"S","0","3"
"731","female",29,0,0,211.3375,"S","1","1"
"732","male",11,0,0,18.7875,"C","0","3"
"733","male",NA,0,0,0,"S","0","2"
"734","male",23,0,0,13,"S","0","2"
"735","male",23,0,0,13,"S","0","2"
"736","male",28.5,0,0,16.1,"S","0","3"
"737","female",48,1,3,34.375,"S","0","3"
"738","male",35,0,0,512.3292,"C","1","1"
"739","male",NA,0,0,7.8958,"S","0","3"
"740","male",NA,0,0,7.8958,"S","0","3"
"741","male",NA,0,0,30,"S","1","1"
"742","male",36,1,0,78.85,"S","0","1"
"743","female",21,2,2,262.375,"C","1","1"
"744","male",24,1,0,16.1,"S","0","3"
"745","male",31,0,0,7.925,"S","1","3"
"746","male",70,1,1,71,"S","0","1"
"747","male",16,1,1,20.25,"S","0","3"
"748","female",30,0,0,13,"S","1","2"
"749","male",19,1,0,53.1,"S","0","1"
"750","male",31,0,0,7.75,"Q","0","3"
"751","female",4,1,1,23,"S","1","2"
"752","male",6,0,1,12.475,"S","1","3"
"753","male",33,0,0,9.5,"S","0","3"
"754","male",23,0,0,7.8958,"S","0","3"
"755","female",48,1,2,65,"S","1","2"
"756","male",0.67,1,1,14.5,"S","1","2"
"757","male",28,0,0,7.7958,"S","0","3"
"758","male",18,0,0,11.5,"S","0","2"
"759","male",34,0,0,8.05,"S","0","3"
"760","female",33,0,0,86.5,"S","1","1"
"761","male",NA,0,0,14.5,"S","0","3"
"762","male",41,0,0,7.125,"S","0","3"
"763","male",20,0,0,7.2292,"C","1","3"
"764","female",36,1,2,120,"S","1","1"
"765","male",16,0,0,7.775,"S","0","3"
"766","female",51,1,0,77.9583,"S","1","1"
"767","male",NA,0,0,39.6,"C","0","1"
"768","female",30.5,0,0,7.75,"Q","0","3"
"769","male",NA,1,0,24.15,"Q","0","3"
"770","male",32,0,0,8.3625,"S","0","3"
"771","male",24,0,0,9.5,"S","0","3"
"772","male",48,0,0,7.8542,"S","0","3"
"773","female",57,0,0,10.5,"S","0","2"
"774","male",NA,0,0,7.225,"C","0","3"
"775","female",54,1,3,23,"S","1","2"
"776","male",18,0,0,7.75,"S","0","3"
"777","male",NA,0,0,7.75,"Q","0","3"
"778","female",5,0,0,12.475,"S","1","3"
"779","male",NA,0,0,7.7375,"Q","0","3"
"780","female",43,0,1,211.3375,"S","1","1"
"781","female",13,0,0,7.2292,"C","1","3"
"782","female",17,1,0,57,"S","1","1"
"783","male",29,0,0,30,"S","0","1"
"784","male",NA,1,2,23.45,"S","0","3"
"785","male",25,0,0,7.05,"S","0","3"
"786","male",25,0,0,7.25,"S","0","3"
"787","female",18,0,0,7.4958,"S","1","3"
"788","male",8,4,1,29.125,"Q","0","3"
"789","male",1,1,2,20.575,"S","1","3"
"790","male",46,0,0,79.2,"C","0","1"
"791","male",NA,0,0,7.75,"Q","0","3"
"792","male",16,0,0,26,"S","0","2"
"793","female",NA,8,2,69.55,"S","0","3"
"794","male",NA,0,0,30.6958,"C","0","1"
"795","male",25,0,0,7.8958,"S","0","3"
"796","male",39,0,0,13,"S","0","2"
"797","female",49,0,0,25.9292,"S","1","1"
"798","female",31,0,0,8.6833,"S","1","3"
"799","male",30,0,0,7.2292,"C","0","3"
"800","female",30,1,1,24.15,"S","0","3"
"801","male",34,0,0,13,"S","0","2"
"802","female",31,1,1,26.25,"S","1","2"
"803","male",11,1,2,120,"S","1","1"
"804","male",0.42,0,1,8.5167,"C","1","3"
"805","male",27,0,0,6.975,"S","1","3"
"806","male",31,0,0,7.775,"S","0","3"
"807","male",39,0,0,0,"S","0","1"
"808","female",18,0,0,7.775,"S","0","3"
"809","male",39,0,0,13,"S","0","2"
"810","female",33,1,0,53.1,"S","1","1"
"811","male",26,0,0,7.8875,"S","0","3"
"812","male",39,0,0,24.15,"S","0","3"
"813","male",35,0,0,10.5,"S","0","2"
"814","female",6,4,2,31.275,"S","0","3"
"815","male",30.5,0,0,8.05,"S","0","3"
"816","male",NA,0,0,0,"S","0","1"
"817","female",23,0,0,7.925,"S","0","3"
"818","male",31,1,1,37.0042,"C","0","2"
"819","male",43,0,0,6.45,"S","0","3"
"820","male",10,3,2,27.9,"S","0","3"
"821","female",52,1,1,93.5,"S","1","1"
"822","male",27,0,0,8.6625,"S","1","3"
"823","male",38,0,0,0,"S","0","1"
"824","female",27,0,1,12.475,"S","1","3"
"825","male",2,4,1,39.6875,"S","0","3"
"826","male",NA,0,0,6.95,"Q","0","3"
"827","male",NA,0,0,56.4958,"S","0","3"
"828","male",1,0,2,37.0042,"C","1","2"
"829","male",NA,0,0,7.75,"Q","1","3"
"831","female",15,1,0,14.4542,"C","1","3"
"832","male",0.83,1,1,18.75,"S","1","2"
"833","male",NA,0,0,7.2292,"C","0","3"
"834","male",23,0,0,7.8542,"S","0","3"
"835","male",18,0,0,8.3,"S","0","3"
"836","female",39,1,1,83.1583,"C","1","1"
"837","male",21,0,0,8.6625,"S","0","3"
"838","male",NA,0,0,8.05,"S","0","3"
"839","male",32,0,0,56.4958,"S","1","3"
"840","male",NA,0,0,29.7,"C","1","1"
"841","male",20,0,0,7.925,"S","0","3"
"842","male",16,0,0,10.5,"S","0","2"
"843","female",30,0,0,31,"C","1","1"
"844","male",34.5,0,0,6.4375,"C","0","3"
"845","male",17,0,0,8.6625,"S","0","3"
"846","male",42,0,0,7.55,"S","0","3"
"847","male",NA,8,2,69.55,"S","0","3"
"848","male",35,0,0,7.8958,"C","0","3"
"849","male",28,0,1,33,"S","0","2"
"850","female",NA,1,0,89.1042,"C","1","1"
"851","male",4,4,2,31.275,"S","0","3"
"852","male",74,0,0,7.775,"S","0","3"
"853","female",9,1,1,15.2458,"C","0","3"
"854","female",16,0,1,39.4,"S","1","1"
"855","female",44,1,0,26,"S","0","2"
"856","female",18,0,1,9.35,"S","1","3"
"857","female",45,1,1,164.8667,"S","1","1"
"858","male",51,0,0,26.55,"S","1","1"
"859","female",24,0,3,19.2583,"C","1","3"
"860","male",NA,0,0,7.2292,"C","0","3"
"861","male",41,2,0,14.1083,"S","0","3"
"862","male",21,1,0,11.5,"S","0","2"
"863","female",48,0,0,25.9292,"S","1","1"
"864","female",NA,8,2,69.55,"S","0","3"
"865","male",24,0,0,13,"S","0","2"
"866","female",42,0,0,13,"S","1","2"
"867","female",27,1,0,13.8583,"C","1","2"
"868","male",31,0,0,50.4958,"S","0","1"
"869","male",NA,0,0,9.5,"S","0","3"
"870","male",4,1,1,11.1333,"S","1","3"
"871","male",26,0,0,7.8958,"S","0","3"
"872","female",47,1,1,52.5542,"S","1","1"
"873","male",33,0,0,5,"S","0","1"
"874","male",47,0,0,9,"S","0","3"
"875","female",28,1,0,24,"C","1","2"
"876","female",15,0,0,7.225,"C","1","3"
"877","male",20,0,0,9.8458,"S","0","3"
"878","male",19,0,0,7.8958,"S","0","3"
"879","male",NA,0,0,7.8958,"S","0","3"
"880","female",56,0,1,83.1583,"C","1","1"
"881","female",25,0,1,26,"S","1","2"
"882","male",33,0,0,7.8958,"S","0","3"
"883","female",22,0,0,10.5167,"S","0","3"
"884","male",28,0,0,10.5,"S","0","2"
"885","male",25,0,0,7.05,"S","0","3"
"886","female",39,0,5,29.125,"Q","0","3"
"887","male",27,0,0,13,"S","0","2"
"888","female",19,0,0,30,"S","1","1"
"889","female",NA,1,2,23.45,"S","0","3"
"890","male",26,0,0,30,"C","1","1"
"891","male",32,0,0,7.75,"Q","0","3"
